"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/27/2015","AQS","420010001","1","0.039","ppm","36","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/28/2015","AQS","420010001","1","0.047","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/01/2015","AQS","420010001","1","0.036","ppm","33","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/02/2015","AQS","420010001","1","0.047","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/03/2015","AQS","420010001","1","0.039","ppm","36","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/04/2015","AQS","420010001","1","0.034","ppm","31","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/05/2015","AQS","420010001","1","0.04","ppm","37","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/06/2015","AQS","420010001","1","0.046","ppm","43","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/07/2015","AQS","420010001","1","0.055","ppm","51","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/08/2015","AQS","420010001","1","0.057","ppm","58","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/09/2015","AQS","420010001","1","0.06","ppm","67","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/10/2015","AQS","420010001","1","0.05","ppm","46","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/11/2015","AQS","420010001","1","0.048","ppm","44","Arendtsville","13","76.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
